sales_person,country,product,date,amount,boxes_shipped,day,month,year,weekdays
Jehu Rudeforth,UK,Mint Chip Choco,2022-04-01,5320.0,180.0,1,4,2022,Friday
Van Tuxwell,India,85% Dark Bars,2022-01-08,7896.0,94.0,8,1,2022,Saturday
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91.0,7,7,2022,Thursday
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342.0,27,4,2022,Wednesday
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184.0,24,2,2022,Thursday
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38.0,6,6,2022,Monday
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176.0,25,1,2022,Tuesday
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,164.71533069186225,24,3,2022,Thursday
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59.0,20,4,2022,Wednesday
Brien Boise,Australia,99% Dark & Pure,2022-04-07,2835.0,102.0,7,4,2022,Thursday
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62.0,13,1,2022,Thursday
Barr Faughny,USA,Orange Choco,2022-10-03,3703.0,78.0,3,10,2022,Monday
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286.0,13,1,2022,Thursday
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156.0,28,7,2022,Thursday
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-03-08,8379.0,173.0,8,3,2022,Tuesday
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356.0,26,1,2022,Wednesday
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42.0,14,2,2022,Monday
Roddy Speechley,USA,Smooth Sliky Salty,2022-05-04,3017.0,140.0,4,5,2022,Wednesday
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250.0,16,2,2022,Wednesday
Curtice Advani,UK,85% Dark Bars,2022-08-06,1085.0,172.0,6,8,2022,Saturday
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88.0,27,6,2022,Monday
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157.0,17,2,2022,Thursday
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163.0,30,5,2022,Monday
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113.0,14,3,2022,Monday
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115.0,28,2,2022,Monday
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321.0,26,1,2022,Wednesday
Roddy Speechley,Canada,Spicy Special Slims,2022-09-02,1652.0,186.0,2,9,2022,Friday
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112.0,7,7,2022,Thursday
Dennison Crosswaite,New Zealand,White Choc,2022-05-07,9492.0,151.0,7,5,2022,Saturday
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301.0,15,6,2022,Wednesday
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121.0,24,5,2022,Tuesday
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150.0,29,6,2022,Wednesday
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-11-05,4284.0,94.0,5,11,2022,Saturday
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133.0,30,6,2022,Thursday
Andria Kimpton,Canada,After Nines,2022-11-05,2163.0,70.0,5,11,2022,Saturday
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315.0,22,7,2022,Friday
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314.0,24,8,2022,Wednesday
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72.0,7,7,2022,Thursday
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14.0,19,5,2022,Thursday
Karlen McCaffrey,India,Manuka Honey Choco,2022-04-07,2443.0,581.0,7,4,2022,Thursday
Kelci Walkden,USA,After Nines,2022-02-06,938.0,16.0,6,2,2022,Sunday
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354.0,15,4,2022,Friday
Mallorie Waber,Canada,Choco Coated Almonds,2022-11-07,4781.0,241.0,7,11,2022,Monday
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142.0,23,2,2022,Wednesday
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102.0,22,8,2022,Monday
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188.0,16,2,2022,Wednesday
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160.0,13,1,2022,Thursday
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18.0,14,2,2022,Monday
Roddy Speechley,India,Eclairs,2022-10-06,4382.0,303.0,6,10,2022,Thursday
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176.0,7,7,2022,Thursday
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70.0,24,3,2022,Thursday
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23.0,6,6,2022,Monday
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135.0,19,7,2022,Tuesday
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83.0,19,4,2022,Tuesday
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179.0,19,7,2022,Tuesday
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24.0,15,7,2022,Friday
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18.0,14,2,2022,Monday
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416.0,18,5,2022,Wednesday
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55.0,30,6,2022,Thursday
Andria Kimpton,Australia,50% Dark Bites,2022-02-06,4438.0,227.0,6,2,2022,Sunday
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48.0,28,6,2022,Tuesday
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174.0,16,5,2022,Monday
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302.0,26,5,2022,Thursday
Karlen McCaffrey,India,Almond Choco,2022-06-07,6090.0,149.0,7,6,2022,Tuesday
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11.0,27,5,2022,Friday
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11.0,14,4,2022,Thursday
Van Tuxwell,Australia,Organic Choco Syrup,2022-10-08,19453.0,14.0,8,10,2022,Saturday
Camilla Castle,India,50% Dark Bites,2022-04-07,9275.0,411.0,7,4,2022,Thursday
Oby Sorrel,India,Organic Choco Syrup,2022-08-07,6181.0,56.0,7,8,2022,Sunday
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102.0,22,7,2022,Friday
Gigi Bohling,USA,Choco Coated Almonds,2022-02-03,12313.0,103.0,3,2,2022,Thursday
Gigi Bohling,UK,Almond Choco,2022-10-01,5642.0,9.0,1,10,2022,Saturday
Jehu Rudeforth,New Zealand,White Choc,2022-11-03,2800.0,241.0,3,11,2022,Thursday
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265.0,20,6,2022,Monday
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214.0,26,8,2022,Friday
